axis,axis_value,config_id,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,seed_count,failed_seed_count,status,mean_energy_j_per_slot_mean,mean_energy_j_per_slot_sd,mean_backlog_mbit_mean,mean_backlog_mbit_sd,mean_device_backlog_mbit_mean,mean_device_backlog_mbit_sd,mean_edge_backlog_mbit_mean,mean_edge_backlog_mbit_sd,mean_local_energy_j_per_slot_mean,mean_local_energy_j_per_slot_sd,mean_transmit_energy_j_per_slot_mean,mean_transmit_energy_j_per_slot_sd,mean_edge_energy_j_per_slot_mean,mean_edge_energy_j_per_slot_sd,mean_local_completed_mbit_per_slot_mean,mean_local_completed_mbit_per_slot_sd,mean_edge_completed_mbit_per_slot_mean,mean_edge_completed_mbit_per_slot_sd,mean_completed_mbit_per_slot_mean,mean_completed_mbit_per_slot_sd,mean_arrival_mbit_per_slot_mean,mean_arrival_mbit_per_slot_sd,window_local_completion_fraction_mean,window_local_completion_fraction_sd,window_edge_completion_fraction_mean,window_edge_completion_fraction_sd,completion_to_arrival_ratio_mean,completion_to_arrival_ratio_sd,late_half_backlog_slope_mbit_per_slot_mean,late_half_backlog_slope_mbit_per_slot_sd,mean_sweeps_mean,mean_sweeps_sd,convergence_fraction_mean,convergence_fraction_sd,mean_decision_runtime_ms_mean,mean_decision_runtime_ms_sd,maximum_best_deviation_gain_mean,maximum_best_deviation_gain_sd,maximum_objective_rise_mean,maximum_objective_rise_sd,wall_seconds_mean,wall_seconds_sd
V_scale,0.0625,c01,100,10,2,18750000000.0,0.0625,2000000.0,2,1e-10,5,0,PASS,3.538736417488642,0.0029457830849076,12.353770843975353,0.001969776814065834,9.602094683373593,0.0015286804560171467,2.75167616060176,0.000488492771378495,3.3050575975922643,0.0015715909821178088,0.1287521339841367,0.0016387603398651672,0.10492668591224216,3.5386683419494705e-05,6.850376580138979,0.0011842183733014142,2.7516585199202304,0.0004796830741783748,9.60203510005921,0.001603248440612276,9.602094222222224,0.0015290057377112638,0.7134296537790522,2.0967098970649907e-05,0.2865703462209476,2.096709897065879e-05,0.9999938418277272,1.1428442967160854e-05,-2.491314693287889e-06,1.3547086707819982e-05,9.617407407407407,0.03190026467202727,0.9921481481481482,0.0021973921443246528,3.5500055966549553,0.017303905320298508,1.118789130118321e-06,1.8106656964333496e-06,0.0,0.0,11.204683775006561,0.040701493490352465
V_scale,0.125,c02,100,10,2,37500000000.0,0.125,2000000.0,2,1e-10,5,0,PASS,2.413895774628261,0.0029658940596522915,13.387015250424401,0.002147451822302514,9.602094222222222,0.001529005737711264,3.78492102820218,0.0007972991259171101,1.9947091867565987,0.0011643825608886342,0.1462428662528642,0.0019978489960567054,0.27294372161879854,0.00013872335302457268,5.817131712538561,0.0011850243256023999,3.7848988743503043,0.0007779736411299895,9.602030586888866,0.0016136480244708295,9.602094222222222,0.001529005737711264,0.6058230756061646,5.689082545890301e-05,0.3941769243938355,5.689082545891303e-05,0.9999933716790022,1.3042412935938969e-05,-2.798596418292805e-06,1.4869634527176102e-05,8.997111111111114,0.04097441404474283,0.9957777777777779,0.0012171612389003568,3.6795675540256694,0.020019857127762046,4.533731731345796e-06,9.761152949716078e-06,0.0,0.0,11.594801650202134,0.06274426434478476
V_scale,0.25,c03,100,10,2,75000000000.0,0.25,2000000.0,2,1e-10,5,0,PASS,1.8090180820599115,0.0031705714200351387,14.463999267300077,0.0022999488418002654,9.602108297641594,0.0015278571354287861,4.861890969658484,0.0012520961983007715,1.0722307128166921,0.0010719291102905095,0.15816356824754374,0.0024182121521680268,0.5786238009956757,0.00039455984176511643,4.740161771082257,0.0015896533726146263,4.8618639780926936,0.0012281712228856304,9.602025749174949,0.0016259340299786427,9.602094222222222,0.001529005737711264,0.4936626760941967,0.00012160081824659838,0.5063373239058034,0.00012160081824657578,0.999992867707588,1.4827455974501353e-05,-3.048136565665154e-06,1.624575353169855e-05,8.744222222222223,0.030328109711670177,0.9962962962962963,0.0012283795519834782,3.70475000566458,0.015784397936074095,2.178912889531405e-06,3.4639693035873635e-06,0.0,0.0,11.675727724796161,0.04492640287193884
V_scale,0.5,c04,100,10,2,150000000000.0,0.5,2000000.0,2,1e-10,5,0,PASS,1.6849315608261002,0.003075670821464714,16.549497736352365,0.003987813220007384,9.602468333805996,0.001553168836669434,6.947029402546366,0.0032140175273326866,0.6659379476596138,0.0008243651019856531,0.1605482027410993,0.002652653193258395,0.8584454104253867,0.0005916486824903835,4.046869048734057,0.0016397848517140713,5.555231571360342,0.0012956446559283389,9.602100620094399,0.001620317537107787,9.602094222222222,0.001529005737711264,0.42145663220943475,0.00013267260084145043,0.5785433677905653,0.00013267260084141858,1.0000006651364433,1.4531037345352553e-05,-4.086062735624868e-06,2.5647715359851508e-05,8.59274074074074,0.03553104865299315,0.9977037037037035,0.0008029438292102909,3.3679173847324115,0.020138323758526096,9.823849056463108e-07,2.1796897661430143e-06,0.0,0.0,10.659769899811362,0.053292183145151384
V_scale,1,c00,100,10,2,300000000000.0,1,2000000.0,2,1e-10,5,0,PASS,1.6610635633819761,0.002972464091553516,28.640771628145842,0.012529898441473803,14.749086226160362,0.013047572843445729,13.89168540198548,0.0065680745935590866,0.6638911481970026,0.0008113835633687571,0.13927209965453663,0.002557350942243194,0.8579003155304367,0.000602255526824227,4.046660053955231,0.0016095436029512395,5.555460027696504,0.0013273106795736237,9.602120081651737,0.0016264782385505907,9.602094222222224,0.0015290057377112638,0.4214340132917041,0.00013157374374423266,0.578565986708296,0.00013157374374421157,1.0000026920332719,2.5731884993328517e-05,-1.4370041086616644e-05,5.851262819026925e-05,10.472444444444445,0.018491832624153798,0.9845925925925927,0.0017489954004618663,2.926893887357976,0.017006148235098856,9.687486392368633e-07,1.7208424788470827e-06,0.0,0.0,9.352413041394902,0.04735343310753179
V_scale,2,c05,100,10,2,600000000000.0,2,2000000.0,2,1e-10,5,0,PASS,1.6493644413988986,0.002887493006628555,57.26374322753533,0.0238738653673557,29.461385911852897,0.024943797923606414,27.80235731568243,0.012939513228024545,0.66259777174675,0.0008116429856636486,0.1280751073372361,0.002458336505550305,0.8586915623149125,0.0005928257598750937,4.0445250923031075,0.0016135506986939773,5.557548771832551,0.0013082093012132057,9.602073864135658,0.0016484925665671622,9.602094222222222,0.001529005737711264,0.421213697638375,0.00013028844853057612,0.5787863023616249,0.00013028844853058588,0.9999978785289546,2.9499846395494256e-05,-2.7259994775999548e-05,0.0001034520801388232,9.580222222222222,0.012569695959559556,0.9990370370370372,0.0006197481678030318,2.23310491500888,0.015027563719233849,1.9001753323588664e-09,2.515695646439712e-09,7.105427357601002e-16,9.72950711118099e-16,7.248874274990522,0.04506594151884059
V_scale,4,c06,100,10,2,1200000000000.0,4,2000000.0,2,1e-10,5,0,PASS,1.6371813329868097,0.002827280081597559,114.49227765033375,0.048490359348321445,58.8407444202695,0.049671466290940144,55.651533230064274,0.024447527731802747,0.6611417456600112,0.0008264228100547831,0.11631900514858713,0.002326670295565384,0.8597205821782111,0.0005596688273842019,4.041996528252149,0.001649979259507147,5.560008359589004,0.0012365733463475055,9.602004887841153,0.0017223996845148984,9.602094222222222,0.001529005737711264,0.42095338486349015,0.00012741724494715417,0.57904661513651,0.00012741724494712804,0.9999906939836766,2.9467638844436814e-05,-5.260305462104979e-05,0.0001943013549179385,8.730222222222222,0.010411953666316686,0.999925925925926,0.0001656346649999772,1.5963118543904447,0.008382060133896769,1.1788516829369655e-10,4.000152601991193e-11,0.0,0.0,5.337032441596966,0.024050640183955477
V_scale,8,c07,100,10,2,2400000000000.0,8,2000000.0,2,1e-10,5,0,PASS,1.62464289643431,0.0027660260162437928,228.8926709269675,0.10324302980616477,117.44798045198131,0.10131140178756753,111.44469047498619,0.04635752808930531,0.6590953019973956,0.0008503011064843551,0.10422204407099703,0.002158734859261382,0.8613255503659174,0.0005316821718284338,4.0382155987026085,0.0017081614394772791,5.563623222728386,0.0011700395820858041,9.601838821430993,0.0018673765955802284,9.602094222222222,0.001529005737711264,0.4205668920519904,0.00012395656751765477,0.5794331079480097,0.00012395656751766252,0.9999733973073258,4.302909622118444e-05,-0.00010099093826346488,0.00044154402912976207,7.959259259259258,0.00942445233333285,1.0,0.0,1.1481815356506826,0.007816653968455132,9.999532313287319e-11,3.592733856226871e-15,1.1368683772161604e-14,1.5567211377889583e-14,3.989420508191688,0.020441721177339178
V_scale,16,c08,100,10,2,4800000000000.0,16,2000000.0,2,1e-10,5,0,PASS,1.6109286089030868,0.0026862784013494,457.09081148791995,0.21330176505385692,234.0864347898354,0.20175897804421858,223.0043766980845,0.09003342916784145,0.6556312723319946,0.0008482971805679972,0.09332317647152034,0.0020177228419048752,0.8619741600995721,0.0005177415185552838,4.031407924341949,0.0017165393059284935,5.565097120131755,0.0011330521044667786,9.596505044473703,0.001957278012578639,9.602094222222222,0.001529005737711264,0.4200912531014782,0.00011948277718813863,0.5799087468985218,0.00011948277718818087,0.9994179157426402,5.637129029624455e-05,-0.00022842899621930806,0.001090825313415724,7.250592592592594,0.02468262191131685,1.0,0.0,0.8575268191591562,0.002759506442629357,9.999663319604224e-11,8.067281120720504e-16,5.684341886080802e-14,5.684341886080802e-14,3.1188528749975375,0.0069755227443523285
beta,1,c09,100,10,1,300000000000.0,1,2000000.0,2,1e-10,5,0,PASS,0.2582497668844662,0.0017403826844000288,8.18936558452919,0.012700405437269937,4.85782053655462,0.007804342095237471,3.3315450479745707,0.0063258664388618595,0.09430588824545132,0.0005613977542673649,0.06297226962457078,0.001158305576974989,0.1009716090144441,0.0002886299168796464,2.0838498724953523,0.004150072583318552,2.7162700924134193,0.00257814634790609,4.800119964908771,0.005546031034104154,4.800051555555555,0.0055914171342578735,0.4341242856850078,0.0004696688549902568,0.5658757143149923,0.0004696688549902677,1.0000142608335094,2.540259188367721e-05,2.2650182278951813e-06,3.54115963382734e-05,7.755777777777777,0.01902384612890771,0.999851851851852,0.00020286020648338605,1.7619352622703581,0.010033748923748321,1.5811583450528466e-09,3.3114377155474237e-09,0.0,0.0,5.848412941599963,0.02827521631719835
