method,config_id,seed,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,T,warmup,avg_energy_j,avg_device_energy_j,avg_edge_energy_j,avg_total_queue_bits,avg_device_queue_bits,avg_edge_queue_bits,avg_fairness,avg_runtime_ms,avg_iterations,avg_arrival_bits,avg_local_completed_bits,avg_edge_completed_bits,avg_uploaded_bits,avg_local_energy_j,avg_transmit_energy_j,effective_warmup_slots,window_arrival_bits,window_completed_bits,window_energy_j,energy_per_completed_mbit_j,window_start_queue_bits,window_end_queue_bits,window_flow_residual_bits,full_run_energy_j,full_run_completed_mbit,window_completed_mbit,window_local_completed_bits,window_edge_completed_bits,window_local_completion_fraction,window_edge_completion_fraction,early_half_avg_total_queue_bits,late_half_avg_total_queue_bits,late_half_backlog_slope_bits_per_slot,tail_10pct_avg_total_queue_bits,mean_energy_j_per_slot,mean_backlog_mbit,mean_device_backlog_mbit,mean_edge_backlog_mbit,mean_local_completed_mbit_per_slot,mean_edge_completed_mbit_per_slot,mean_arrival_mbit_per_slot,completion_to_arrival_ratio,late_half_backlog_slope_mbit_per_slot,local_cap_fraction,mean_effective_V,mean_local_energy_j_per_slot,mean_transmit_energy_j_per_slot,mean_edge_energy_j_per_slot,mean_completed_mbit_per_slot,mean_sweeps,convergence_fraction,mean_decision_runtime_ms,maximum_best_deviation_gain,maximum_objective_rise,wall_seconds,trace_path,trace_sha256
QAPG-R,c02,520927,100,10,2,37500000000.0,0.125,2000000.0,2,1e-10,3000,300,2.412118327324777,2.139296951843375,0.272821375481402,13384635.29971125,9600266.666666666,3784368.633044583,0.9994408138334266,3.652624686418912,8.94,9600266.666666666,5815746.922510973,3784262.566889797,3784368.633044583,1.9935054511241523,0.14579150071922317,300,25920720000.0,25920025621.38208,6512.719483776898,0.25126207739564854,13040539.052926004,13734917.670847394,-2.3618340492248535e-06,7233.815746312333,28785.849082329154,25920.02562138208,15702516690.779627,10217508930.602451,0.6058063722678664,0.39419362773213357,13367719.133569974,13398168.23262427,-14.477952567141463,13400222.522092927,2.412118327324777,13.384635299711249,9.600266666666666,3.7843686330445827,5.815746922510973,3.784262566889797,9.600266666666666,0.9999732114455957,-1.4477952567141464e-05,0.0,37500000000.0,1.9935054511241523,0.14579150071922317,0.272821375481402,9.60000948940077,8.94,0.9959259259259259,3.652624686418912,9.342878261840715e-09,0.0,11.512715250020847,experiments/results/parameter_sensitivity_v1/traces/c02_s520927.npz,d18b70e5a877c06470d80820516a900f254314e7f02a7b1cd0a13e2c7ce2f2b0
QAPG-R,c02,520928,100,10,2,37500000000.0,0.125,2000000.0,2,1e-10,3000,300,2.4153134120449318,2.142530639480989,0.2727827725639428,13384996.59987062,9601202.962962963,3783793.6369076557,0.9994244907634079,3.6800211367813906,8.994814814814815,9601202.962962963,5817305.622351603,3783869.006366476,3783793.6369076557,1.9949087640028538,0.1476218754781352,300,25923248000.0,25923171497.538815,6521.3462125213155,0.251564366387055,13570397.71527052,13646900.176456198,2.5331974029541016e-07,7241.689503748491,28790.009099823543,25923.171497538813,15706725180.349327,10216446317.189486,0.605895200046821,0.394104799953179,13386957.336130869,13383428.010862421,-22.941747631667702,13385699.843148794,2.4153134120449318,13.38499659987062,9.601202962962963,3.7837936369076557,5.817305622351602,3.783869006366476,9.601202962962963,0.9999970488859581,-2.29417476316677e-05,0.0,37500000000.0,1.9949087640028538,0.1476218754781352,0.2727827725639428,9.601174628718079,8.994814814814815,0.9937037037037038,3.6800211367813906,5.132303098984853e-07,0.0,11.578801166993799,experiments/results/parameter_sensitivity_v1/traces/c02_s520928.npz,6f0fac8136010792aaf687540a0e473f98adc030fb215e570fc8aff1426ff940
QAPG-R,c02,520929,100,10,2,37500000000.0,0.125,2000000.0,2,1e-10,3000,300,2.41003288780384,2.136915854055007,0.2731170337488333,13387535.205761,9601934.814814815,3785600.3909461875,0.9994306841737989,3.6682032215671994,8.982962962962963,9601934.814814815,5816381.831276035,3785590.754194432,3785600.3909461875,1.9937453730802812,0.14317048097472523,300,25925224000.0,25925325980.770264,6507.088797070368,0.2509935189203371,13505153.073236346,13403172.30297625,-5.364418029785156e-06,7225.83880938897,28789.412827697026,25925.325980770263,15704230944.445295,10221095036.324966,0.6057486396157056,0.39425136038429437,13390025.93684188,13385542.620896302,9.2374041125019,13391517.231628068,2.41003288780384,13.387535205761,9.601934814814815,3.7856003909461875,5.816381831276035,3.785590754194432,9.601934814814815,1.0000039336504967,9.237404112501901e-06,0.0,37500000000.0,1.9937453730802812,0.14317048097472523,0.2731170337488333,9.601972585470469,8.982962962962963,0.9966666666666667,3.6682032215671994,1.2081580579980516e-07,0.0,11.5698769169976,experiments/results/parameter_sensitivity_v1/traces/c02_s520929.npz,bd7978bd1ba928df974b169bb0c2d461fce34641e0febafbfe4a57441cd50174
QAPG-R,c02,520930,100,10,2,37500000000.0,0.125,2000000.0,2,1e-10,3000,300,2.4177649081178885,2.1447692171938297,0.2729956909240585,13389630.87997042,9604257.777777778,3785373.1021926426,0.9994372573016962,3.6945283419077493,9.017407407407408,9604257.777777778,5818881.712622172,3785418.679613242,3785373.1021926426,1.9964242482354981,0.14834496895833224,300,25931496000.0,25931611059.035618,6527.965251918299,0.2517377434458972,13291328.201748412,13176269.166130573,-5.066394805908203e-07,7248.697909033256,28797.64773083387,25931.61105903562,15710980624.079865,10220630434.955753,0.6058621112399234,0.3941378887600766,13393857.460872501,13386249.615248755,8.003499106435747,13386882.807417504,2.4177649081178885,13.38963087997042,9.604257777777779,3.7853731021926427,5.818881712622172,3.785418679613242,9.604257777777779,1.0000044370380952,8.003499106435747e-06,0.0,37500000000.0,1.9964242482354981,0.14834496895833224,0.2729956909240585,9.604300392235414,9.017407407407408,0.9959259259259259,3.6945283419077493,2.1991243662468525e-05,0.0,11.63948475001962,experiments/results/parameter_sensitivity_v1/traces/c02_s520930.npz,80ad2f2813528e44560c3e2210f6527c099e1b3e4908ee49289806d83805514d
QAPG-R,c02,520931,100,10,2,37500000000.0,0.125,2000000.0,2,1e-10,3000,300,2.414249337849868,2.141247602474112,0.27300173537575606,13388278.26680872,9602808.888888888,3785469.3779198313,0.9994333973728088,3.702460383453096,9.05037037037037,9602808.888888888,5817342.47393202,3785353.364687575,3785469.3779198313,1.9949620973402071,0.14628550513390517,300,25927584000.0,25927278764.272903,6518.473212194644,0.2514137049036139,13231724.618427455,13536960.345519938,3.896653652191162e-06,7240.000324032651,28795.07103965448,25927.2787642729,15706824679.616455,10220454084.656452,0.6058030548605062,0.39419694513949394,13376058.937469192,13398053.73028034,6.185814888407492,13405808.15875844,2.414249337849868,13.38827826680872,9.602808888888887,3.7854693779198314,5.817342473932021,3.785353364687575,9.602808888888887,0.9999882273748647,6.185814888407492e-06,0.0,37500000000.0,1.9949620973402071,0.14628550513390517,0.27300173537575606,9.602695838619594,9.05037037037037,0.9966666666666667,3.702460383453096,3.402600030032177e-08,0.0,11.673130166978808,experiments/results/parameter_sensitivity_v1/traces/c02_s520931.npz,5fd020edfb1218da603a7e5a3f472b8834dac95483aae3a464a348746a37896d
QAPG-R,c03,520927,100,10,2,75000000000.0,0.25,2000000.0,2,1e-10,3000,300,1.8070872623560044,1.2286804818276977,0.5784067805283071,14461644.524942836,9600277.07315681,4861367.451786028,0.9991759984816662,3.7150615239968627,8.766296296296296,9600266.666666666,4738748.103769527,4861230.137619591,4861367.451786028,1.0713333123819784,0.15734716944571928,300,25920720000.0,25919941251.750618,4879.135608361212,0.18823868314252748,14102819.82756406,14881568.076945841,4.172325134277344e-07,5418.989720439436,28784.702431923055,25919.941251750617,12794619880.177723,13125321371.572897,0.49362071294484827,0.5063792870551518,14443424.062568378,14476220.894842407,-15.686625547382656,14478437.143736912,1.8070872623560044,14.461644524942836,9.600277073156809,4.861367451786029,4.7387481037695265,4.861230137619591,9.600266666666666,0.999969956534796,-1.5686625547382657e-05,0.0,75000000000.0,1.0713333123819784,0.15734716944571928,0.5784067805283071,9.599978241389117,8.766296296296296,0.9951851851851852,3.7150615239968627,2.2732180965656656e-06,0.0,11.690332208003383,experiments/results/parameter_sensitivity_v1/traces/c03_s520927.npz,84e315f0cebf4c653964ed2d591ab79fa0a5214b6534ca5bd0a984c60c654849
QAPG-R,c03,520928,100,10,2,75000000000.0,0.25,2000000.0,2,1e-10,3000,300,1.8109198879106703,1.232713765612123,0.5782061222985476,14461394.378983714,9601226.838117946,4860167.540865768,0.9991273449580415,3.7011474487048366,8.725185185185186,9601202.962962963,4740931.718393491,4860249.804092664,4860167.540865768,1.0727422412376098,0.1599715243745129,300,25923248000.0,25923190110.712616,4889.48369735881,0.18861427457333876,14652074.028726667,14709963.316107169,5.349516868591309e-06,5428.347125448297,28788.94603668389,25923.190110712618,12800515639.662426,13122674471.050194,0.49378628112489453,0.5062137188751056,14463785.582747914,14459481.415972354,-25.001178056878697,14460966.152839342,1.8109198879106703,14.461394378983714,9.601226838117945,4.860167540865768,4.74093171839349,4.860249804092664,9.601202962962963,0.9999977668968262,-2.5001178056878696e-05,0.0,75000000000.0,1.0727422412376098,0.1599715243745129,0.5782061222985476,9.601181522486154,8.725185185185186,0.9951851851851852,3.7011474487048366,4.40000208682019e-07,0.0,11.651820790983038,experiments/results/parameter_sensitivity_v1/traces/c03_s520928.npz,49174017241b9286b92b67b094779fc626dec3d1419180185ddfb27cb3a1ac07
QAPG-R,c03,520929,100,10,2,75000000000.0,0.25,2000000.0,2,1e-10,3000,300,1.8048191555978357,1.2255709697250976,0.5792481858727383,14465515.17860511,9601952.561037406,4863562.617567702,0.9991763945265555,3.6785828053339005,8.700740740740741,9601934.814814815,4738419.60465452,4863553.636193309,4863562.617567702,1.0710130271384541,0.15455794258664352,300,25925224000.0,25925327750.28914,4873.011720114157,0.1879633602726511,14556494.511172175,14452744.222033769,6.854534149169922e-07,5411.10088057615,28788.36325577797,25925.32775028914,12793732932.567204,13131594817.721935,0.49348394187319455,0.5065160581268054,14467960.025399685,14463559.30116945,10.518295596969793,14470182.58355922,1.8048191555978357,14.46551517860511,9.601952561037406,4.863562617567702,4.73841960465452,4.863553636193309,9.601934814814815,1.0000040019052154,1.0518295596969794e-05,0.0,75000000000.0,1.0710130271384541,0.15455794258664352,0.5792481858727383,9.60197324084783,8.700740740740741,0.9981481481481481,3.6785828053339005,5.391492858067282e-09,0.0,11.609329040977173,experiments/results/parameter_sensitivity_v1/traces/c03_s520929.npz,e2ef067523aa0813c080ba166ef7abe7e66f9cc23c37252aa8cc9783629d7fde
QAPG-R,c03,520930,100,10,2,75000000000.0,0.25,2000000.0,2,1e-10,3000,300,1.8129063745116303,1.2343524058070805,0.5785539687045496,14466269.40399483,9604273.556306183,4861995.847688648,0.9991792618081486,3.7157537115530834,8.756666666666666,9604257.777777778,4742258.967126166,4862055.1751819905,4861995.847688648,1.0736492096523507,0.16070319615472994,300,25931496000.0,25931648184.232025,4894.847211181402,0.18875958737392395,14356394.00487732,14204209.772851318,2.5331974029541016e-06,5434.220202311181,28796.61979022715,25931.648184232025,12804099211.24065,13127548972.991375,0.49376341682077496,0.506236583179225,14470858.292168818,14462598.293455644,9.580439018034962,14463750.441266978,1.8129063745116303,14.466269403994831,9.604273556306183,4.861995847688648,4.742258967126166,4.8620551751819905,9.604257777777779,1.0000058687023696,9.580439018034962e-06,0.0,75000000000.0,1.0736492096523507,0.16070319615472994,0.5785539687045496,9.604314142308157,8.756666666666666,0.9962962962962963,3.7157537115530834,2.901358611868965e-08,0.0,11.710878459009109,experiments/results/parameter_sensitivity_v1/traces/c03_s520930.npz,8a1c234594c5840cf3dbfbb9ee5152aecb6299ca676e7830828b22142d9ab974
QAPG-R,c03,520931,100,10,2,75000000000.0,0.25,2000000.0,2,1e-10,3000,300,1.8093577299234178,1.2306537823491814,0.5787039475742362,14465172.849973897,9602811.459589623,4862361.390384272,0.9991543889934137,3.7132045387342156,8.772222222222222,9602808.888888888,4740450.461467581,4862231.13737591,4862361.390384272,1.0724157736730684,0.15823800867611307,300,25927584000.0,25927240316.877422,4885.265870793228,0.18842213097446964,14282504.429496825,14626187.55207397,4.6193599700927734e-07,5425.623216642089,28793.981812447928,25927.24031687742,12799216245.962467,13128024070.914957,0.4936590277072711,0.506340972292729,14452511.53318332,14475301.903406354,5.348386160930828,14482562.30088728,1.8093577299234178,14.465172849973897,9.602811459589622,4.8623613903842715,4.740450461467581,4.86223113737591,9.602808888888887,0.9999867444987324,5.348386160930828e-06,0.0,75000000000.0,1.0724157736730684,0.15823800867611307,0.5787039475742362,9.602681598843489,8.772222222222222,0.9966666666666667,3.7132045387342156,8.146941063432583e-06,0.0,11.716278125008103,experiments/results/parameter_sensitivity_v1/traces/c03_s520931.npz,e0df75cc938158c5ff05292ff891a99f8735f4c286a8b4bb1f646c558874ec66
