beta,rho,scale_index,test_seed_count,local_processing_rate_mbit_per_slot,edge_processing_rate_mbit_per_slot,total_processing_rate_mbit_per_slot,total_rate_sample_sd,local_rate_sample_sd,edge_rate_sample_sd,local_share_percent
1,2.0,4,5,2.0835005350342657,2.7161930897368314,4.799693624771097,0.0018964738810124616,0.0013682731060401625,0.0017481520120790747,43.40903309647489
2,2.0,3,5,4.045131858677238,5.553197043994153,9.59832890267139,0.0016917213292349034,0.0005541306978405726,0.0017061997122779788,42.14412726918011
3,2.0,2,5,6.169113932367885,8.227158927746375,14.39627286011426,0.0024504966673249565,0.0007079057428965374,0.002574114949222953,42.85216137978678
