config_id,seed,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,energy_j_per_slot,backlog_mbit,trace_path,trace_sha256
c04,520930,100.0,10.0,2.0,150000000000.0,0.5,2000000.0,2.0,1e-10,1.6889116572187157,16.551752528169082,experiments/results/parameter_sensitivity_v1/traces/c04_s520930.npz,d26c70e6227784710cfb61a55ae5df706b23bbe5f0341939976fffd801ca389c
c04,520931,100.0,10.0,2.0,150000000000.0,0.5,2000000.0,2.0,1e-10,1.6852577128699475,16.551200731103688,experiments/results/parameter_sensitivity_v1/traces/c04_s520931.npz,e51e59f44f7b090f14a32b822b5e818fbbb852b0f3605d2352cc81f8618ad459
c05,520927,100.0,10.0,2.0,600000000000.0,2.0,2000000.0,2.0,1e-10,1.647244453505843,57.232510961841285,experiments/results/parameter_sensitivity_v1/traces/c05_s520927.npz,4741193e74a44993c6c1846a693b65df8a3e37f755fa696171a25a53fbe9abbf
c05,520928,100.0,10.0,2.0,600000000000.0,2.0,2000000.0,2.0,1e-10,1.650843044829626,57.25741526295336,experiments/results/parameter_sensitivity_v1/traces/c05_s520928.npz,3a51606e0e1b7a4b94e4d269ff3da066f7f18cfdc231663b2649e10a32bdb157
c05,520929,100.0,10.0,2.0,600000000000.0,2.0,2000000.0,2.0,1e-10,1.6458381889662066,57.25718811933632,experiments/results/parameter_sensitivity_v1/traces/c05_s520929.npz,fc82d0a5829925a25e03b9f5dfc06114f668e1d65c5c8c0229ebd2b7012b5fec
c05,520930,100.0,10.0,2.0,600000000000.0,2.0,2000000.0,2.0,1e-10,1.6531142117991704,57.29694309687643,experiments/results/parameter_sensitivity_v1/traces/c05_s520930.npz,09b367d5a5577e4965780ed7c481c4af24a7ec21985b9f7a39a12b92584b4c93
c05,520931,100.0,10.0,2.0,600000000000.0,2.0,2000000.0,2.0,1e-10,1.6497823078936469,57.27465869666924,experiments/results/parameter_sensitivity_v1/traces/c05_s520931.npz,1a22035ee6e1a77ce41dbcfeb6d1fd6a461c0d8171bd1203d05b4e07b132afd1
c06,520927,100.0,10.0,2.0,1200000000000.0,4.0,2000000.0,2.0,1e-10,1.635074263965566,114.42970421480973,experiments/results/parameter_sensitivity_v1/traces/c06_s520927.npz,1cb3021639516f8b41710931cf77f3acc5a59a5ed57dde8be6394ac9ac10f6f9
c06,520928,100.0,10.0,2.0,1200000000000.0,4.0,2000000.0,2.0,1e-10,1.6386679633302892,114.48328986271524,experiments/results/parameter_sensitivity_v1/traces/c06_s520928.npz,e541423b113292158b7d83b6e16704a5d9922ce2f57dd86c65fe4668638cd508
c06,520929,100.0,10.0,2.0,1200000000000.0,4.0,2000000.0,2.0,1e-10,1.6336990354154446,114.47378823500489,experiments/results/parameter_sensitivity_v1/traces/c06_s520929.npz,eea66b4affdde0b66089fac641bdca310e53c14b27f92b44c995692d27e8e06b
c06,520930,100.0,10.0,2.0,1200000000000.0,4.0,2000000.0,2.0,1e-10,1.640778925910726,114.55980438525386,experiments/results/parameter_sensitivity_v1/traces/c06_s520930.npz,6364d53ff8e25deab51ff67316fa73291f0de7664f31b3a4d6d5d4ceecd2ffd2
