beta,rho,backlog_target_mbit,qapg_status,qapg_energy_mean,qapg_energy_sd,qapg_backlog_mean,qapg_backlog_max,passing_comparator_count,best_comparator,best_comparator_energy_mean,best_comparator_energy_sd,energy_saving_vs_best_percent,lowest_energy_among_passing
1,1.5,7.2,PASS,0.2762909346791329,0.0007507471458845299,7.1942798324340895,7.1996608822157,5,EEDO-adapted,0.8144810941007343,0.0011879093085598927,66.0776736648277,True
1,2,9.6,PASS,0.25814201300425904,0.0007174873780987696,8.188984771421923,8.198442319110493,5,EEDO-adapted,0.8144810941007343,0.0011879093085598927,68.30595395350794,True
1,3,14.4,PASS,0.25814201300425904,0.0007174873780987696,8.188984771421923,8.198442319110493,5,EEDO-adapted,0.6063164426458629,0.0004421842073487481,57.42454024869082,True
1,5,24.0,PASS,0.2452919830057581,0.0006817947442870461,14.53772490201446,14.55542699506386,5,QAPG-capped,0.4315765454815925,0.00030104716016951636,43.16373640461881,True
2,1.5,14.4,PASS,2.411688928659244,0.001144304453709052,13.381453809482116,13.384892737271706,5,EEDO-adapted,3.8176430865833595,0.0014045611742320935,36.82780516767452,True
2,2,19.2,PASS,1.6826670437058073,0.0010539809987657727,16.54082112742422,16.54793273543919,5,EEDO-adapted,3.8176430865833595,0.0014045611742320935,55.923929881781376,True
2,3,28.8,PASS,1.6587155056341103,0.0009426862336026413,28.61352735044262,28.625897809979666,5,NoQuad-capped,3.378893649948452,0.004647510320590856,50.90950833390641,True
2,5,48.0,PASS,1.6587155056341103,0.0009426862336026413,28.61352735044262,28.625897809979666,5,EEDO-adapted,2.4098920101417174,0.0010064442462980052,31.170546287816148,True
3,1.5,21.6,PASS,6.467853284597972,0.0018288290420792324,21.028717987006207,21.034367293798564,4,GUPA-O-capped,9.116640303847682,0.014356996550916736,29.054420608563312,True
3,2,28.8,PASS,5.461613814241756,0.0019028276331366232,22.650710581535762,22.657241363106564,4,GUPA-O-capped,8.568987859578396,0.03455542434796468,36.26302308111248,True
3,3,43.2,PASS,5.38342269257537,0.002046539506280271,32.09863484326771,32.11690450986236,4,EEDO-adapted,7.428845446547408,0.0020105126451890488,27.533521442725103,True
3,5,72.0,PASS,5.35229958243496,0.0022509871940457915,64.17929592604004,64.2155570324564,5,EEDO-adapted,7.428845446547408,0.0020105126451890488,27.952470933118313,True
